Route,Score,Waypoint Pts,Bonuses,Start,Time (h),Distance (km),Stops,Margin (min),Combos,Tunnel,Waypoints
1,16346,16346,0,Start G,11.50,626.3,18,0,none,no,Start G > 040 > 080 > 041 > 078 > 118 > 017 > 028 > 042 > 117 > 077 > 099 > 083 > 029 > 116 > 075 > 091 > 113 > 050 > Finish
2,16100,14100,2000,Start G,11.46,675.3,15,2,none,YES,Start G > 040 > 080 > 120 > 078 > 118 > 117 > 077 > 042 > 029 > 011 > 106 > 091 > 114 > 113 > 050 > Finish
3,15805,15805,0,Start G,11.50,663.3,16,0,none,no,Start G > 040 > 080 > 041 > 078 > 118 > 117 > 042 > 077 > 099 > 029 > 106 > 116 > 091 > 021 > 113 > 050 > Finish
4,15796,15796,0,Start G,11.46,649.0,17,2,none,no,Start G > 040 > 080 > 041 > 078 > 118 > 117 > 042 > 072 > 027 > 104 > 020 > 097 > 029 > 116 > 091 > 114 > 050 > Finish
5,15737,13737,2000,Start B,11.47,704.0,15,2,none,YES,Start B > 072 > 117 > 017 > 028 > 118 > 077 > 029 > 099 > 106 > 091 > 114 > 075 > 021 > 113 > 050 > Finish
6,15718,13718,2000,Start B,11.48,719.6,14,1,none,YES,Start B > 072 > 078 > 117 > 118 > 077 > 042 > 099 > 083 > 029 > 106 > 021 > 075 > 091 > 114 > Finish
7,15583,13583,2000,Start B,11.42,656.5,16,5,none,YES,Start B > 117 > 042 > 077 > 028 > 017 > 118 > 029 > 116 > 091 > 113 > 110 > 002 > 021 > 075 > 114 > 050 > Finish
8,15580,13580,2000,Start B,11.47,719.5,15,2,none,YES,Start B > 072 > 027 > 104 > 118 > 077 > 117 > 017 > 028 > 078 > 099 > 083 > 029 > 116 > 091 > 114 > Finish
9,15537,13537,2000,Start B,11.49,716.1,14,1,none,YES,Start B > 072 > 078 > 118 > 077 > 117 > 017 > 028 > 029 > 116 > 091 > 113 > 114 > 075 > 050 > Finish
10,15439,15439,0,Start G,11.47,687.1,16,2,none,no,Start G > 080 > 041 > 078 > 072 > 027 > 017 > 117 > 118 > 077 > 042 > 099 > 029 > 116 > 091 > 113 > 050 > Finish
11,15393,15393,0,Start B,11.40,674.4,18,6,none,no,Start B > 072 > 027 > 104 > 118 > 117 > 077 > 042 > 099 > 029 > 097 > 116 > 011 > 106 > 021 > 091 > 114 > 075 > 050 > Finish
12,15379,15379,0,Start G,11.48,702.2,16,1,none,no,Start G > 080 > 041 > 078 > 072 > 027 > 118 > 117 > 042 > 029 > 116 > 091 > 113 > 021 > 075 > 114 > 050 > Finish
13,15377,15377,0,Start G,11.48,682.2,16,1,none,no,Start G > 040 > 078 > 118 > 117 > 042 > 099 > 083 > 029 > 097 > 116 > 106 > 012 > 021 > 091 > 114 > 050 > Finish
14,15376,13376,2000,Start G,11.49,716.4,14,0,none,YES,Start G > 080 > 041 > 078 > 072 > 120 > 117 > 118 > 077 > 029 > 011 > 106 > 091 > 114 > 050 > Finish
15,15333,15333,0,Start B,11.50,613.5,17,0,none,no,Start B > 017 > 028 > 117 > 118 > 077 > 042 > 099 > 029 > 097 > 116 > 011 > 043 > 021 > 113 > 091 > 114 > 050 > Finish
16,15331,15331,0,Start G,11.41,652.5,16,6,none,no,Start G > 040 > 120 > 072 > 118 > 117 > 042 > 099 > 106 > 043 > 012 > 021 > 075 > 113 > 091 > 114 > 050 > Finish
17,15327,13327,2000,Start G,11.49,718.8,14,1,none,YES,Start G > 080 > 041 > 078 > 040 > 120 > 118 > 077 > 117 > 042 > 099 > 083 > 106 > 091 > 114 > Finish
18,15326,15326,0,Start G,11.34,652.5,16,9,none,no,Start G > 040 > 078 > 118 > 028 > 017 > 117 > 077 > 099 > 083 > 029 > 011 > 106 > 043 > 091 > 113 > 050 > Finish
19,15291,15291,0,Start G,11.50,648.2,17,0,none,no,Start G > 080 > 040 > 120 > 072 > 027 > 118 > 042 > 117 > 017 > 028 > 077 > 099 > 029 > 116 > 075 > 091 > 050 > Finish
20,15275,15275,0,Start B,11.43,666.7,17,4,none,no,Start B > 072 > 027 > 118 > 028 > 017 > 042 > 117 > 077 > 099 > 083 > 029 > 116 > 097 > 091 > 114 > 113 > 050 > Finish